pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse
"OGLE-2019-BLG-0362L b","OGLE-2019-BLG-0362L",1,1,"Microlensing",2022,,13.10000000,1036.12060682
"TOI-5803 b","TOI-5803",1,1,"Transit",2023,5.38305000000,3.27320000,10.70000000
"AT2021ueyL b","AT2021ueyL",1,1,"Microlensing",2025,4168.69000000000,13.60000000,425.89006538
"HD 145675 c","14 Her",1,2,"Radial Velocity",2021,15732.45889000000,12.60000000,2510.84441530
"WASP-60 b","WASP-60",1,1,"Transit",2012,4.30500000000,9.86392000,174.80650000
"TOI-776 b","TOI-776",1,2,"Transit",2020,8.24662000000,1.79800000,5.00000000
"Kepler-1987 d","Kepler-1987",1,4,"Transit",2023,5.64491415400,2.66000000,7.56000000
"TOI-833 b","TOI-833",1,1,"Transit",2022,1.04187770000,1.27000000,2.15000000
"KELT-24 b","KELT-24",2,1,"Transit",2019,5.55149296000,12.71098411,1458.83238813
"TOI-858 B b","TOI-858 B",2,1,"Transit",2023,3.27971780000,14.06727078,349.61124770
"WASP-13 b","WASP-13",1,1,"Transit",2009,4.35301000000,13.67498000,114.41880000
"WASP-10 b","WASP-10",1,1,"Transit",2008,3.09276160000,12.10600000,1001.12000000
"HAT-P-32 b","HAT-P-32",2,1,"Transit",2011,2.15000820000,22.19382000,216.12440000
"Kepler-1693 b","Kepler-1693",1,2,"Transit",2020,12.09990000000,1.28938413,2.21000000
"HD 199509 b","HD 199509",1,1,"Radial Velocity",2022,99.62167000000,7.43000000,43.22466335
"Kepler-104 b","Kepler-104",2,3,"Transit",2014,11.42754800000,3.10000000,19.60000000
"Kepler-945 b","Kepler-945",1,1,"Transit",2016,31.00338140000,2.63000000,7.41000000
"TOI-2416 b","TOI-2416",1,1,"Transit",2023,8.27547900000,9.86390302,953.48522100
"HD 110113 c","HD 110113",1,2,"Radial Velocity",2021,6.74400000000,2.11384817,10.50000000
"EPIC 206317286 b","EPIC 206317286",1,2,"Transit",2019,1.58252000000,0.96000000,0.84000000
"WASP-102 b","WASP-102",1,1,"Transit",2025,2.70981300000,14.90794433,197.68926915
"Kepler-297 d","Kepler-297",1,3,"Transit",2023,150.01895110000,32.60000000,
"Kepler-1994 b","Kepler-1994",1,1,"Transit",2023,4.61225043000,0.51000000,0.08700000
"HATS-32 b","HATS-32",1,1,"Transit",2016,2.81265480000,14.00004100,292.40360000
"HAT-P-46 b","HAT-P-46",1,1,"Transit",2014,4.46312900000,14.39200000,156.68400000
"TOI-125 b","TOI-125",1,3,"Transit",2019,4.65382000000,2.72600000,9.50000000
"TOI-125 d","TOI-125",1,3,"Transit",2020,19.98000000000,2.93000000,13.60000000
"Kepler-1130 b","Kepler-1130",2,3,"Transit",2016,5.45298175000,0.80000000,0.43700000
"Kepler-1878 b","Kepler-1878",1,1,"Transit",2021,4.44587993600,2.92019781,8.86000000
"HD 21411 b","HD 21411",1,1,"Radial Velocity",2019,84.28800000000,9.52000000,65.90000000
"Kepler-239 c","Kepler-239",1,2,"Transit",2014,56.22809800000,2.51000000,6.85000000
"NSVS 14256825 b","NSVS 14256825",2,1,"Eclipse Timing Variations",2019,3225.00000000000,12.30000000,4497.29450000
"HD 143361 b","HD 143361",1,1,"Radial Velocity",2008,1039.15000000000,12.90000000,1382.55357045
"Kepler-1978 b","Kepler-1978",1,1,"Transit",2023,10.84969477000,2.67000000,7.61000000
"HD 12661 b","HD 12661",1,2,"Radial Velocity",2000,262.70862000000,13.30000000,772.32690000
"WASP-11 b","WASP-11",3,1,"Transit",2008,3.72247000000,12.44199000,251.08570000
"WASP-192 b","WASP-192",1,1,"Transit",2019,2.87867650000,13.78707000,731.00900000
"WASP-44 b","WASP-44",1,1,"Transit",2011,2.42380400000,12.32990000,276.51210000
"HAT-P-5 b","HAT-P-5",1,1,"Transit",2007,2.78849000000,13.56289000,311.47340000
"HAT-P-8 b","HAT-P-8",3,1,"Transit",2008,3.07634000000,15.69260000,406.82240000
"HD 33844 b","HD 33844",1,2,"Radial Velocity",2015,551.40002000000,13.40000000,638.83830000
"Kepler-139 f","Kepler-139",1,5,"Transit Timing Variations",2025,355.00000000000,6.67000000,36.00000000
"TOI-836 b","TOI-836",1,2,"Transit",2023,3.81673000000,1.70400000,4.53000000
"TOI-1246 b","TOI-1246",1,4,"Transit",2022,4.30744000000,3.01000000,8.10000000
"Kepler-1849 b","Kepler-1849",1,1,"Transit",2021,57.29290009000,2.38685349,6.29000000
"Kepler-2001 c","Kepler-2001",1,2,"Transit",2023,14.09258318900,1.82000000,3.97000000
"DMPP-1 e","DMPP-1",1,4,"Radial Velocity",2019,5.51600000000,1.86000000,4.13000000
"K2-403 b","K2-403",1,1,"Transit",2022,33.58997900000,5.33300000,24.60000000
"TOI-5789 e","TOI-5789",1,4,"Radial Velocity",2026,62.98000000000,3.43000000,11.61000000
"rho CrB b","rho CrB",1,3,"Radial Velocity",1997,39.84900000000,13.70000000,347.99500000
"HD 191939 c","HD 191939",1,6,"Transit",2020,28.57974300000,3.19500000,8.00000000
"DMPP-6 b","DMPP-6",1,2,"Radial Velocity",2026,7.60270000000,2.28000000,5.80000000
"Kepler-315 c","Kepler-315",1,2,"Transit",2014,265.46933500000,4.15000000,16.10000000
"Qatar-10 b","Qatar-10",1,1,"Transit",2019,1.64532100000,17.29548700,233.92288000
"Gliese 12 b","Gliese 12",1,1,"Transit",2024,12.76141800000,0.93000000,0.95000000
"HD 209458 b","HD 209458",1,1,"Radial Velocity",1999,3.52474859000,15.58051000,232.01590000
"Kepler-1991 b","Kepler-1991",1,2,"Transit",2023,13.26079792000,1.47000000,2.76000000
"Kepler-1995 b","Kepler-1995",1,1,"Transit",2023,73.75788750000,4.28000000,16.90000000
"Kepler-1987 e","Kepler-1987",1,4,"Transit",2023,8.74292005000,1.92000000,4.35000000
"KELT-3 b","KELT-3",2,1,"Transit",2013,2.70339000000,17.48604000,616.59020000
"Kepler-417 c","Kepler-417",1,2,"Transit Timing Variations",2014,15.94300000000,2.69000000,7.70000000
"KMT-2017-BLG-1146L b","KMT-2017-BLG-1146L",1,1,"Microlensing",2019,,14.00000000,230.00000000
"Kepler-1213 b","Kepler-1213",1,1,"Transit",2016,5.34982412000,1.19000000,1.81000000
"Kepler-1020 b","Kepler-1020",1,1,"Transit",2016,96.91514960000,2.28000000,5.82000000
"Kepler-682 b","Kepler-682",1,1,"Transit",2016,12.61190667200,7.37000000,42.60000000
"K2-194 b","K2-194",1,1,"Transit",2018,39.72138600000,3.64229858,12.90000000
"Kepler-1993 b","Kepler-1993",1,1,"Transit",2023,26.65657370000,4.15000000,16.10000000
"Kepler-579 b","Kepler-579",1,1,"Transit",2016,9.66857723000,2.00000000,4.66000000
"HD 216770 b","HD 216770",1,1,"Radial Velocity",2003,118.45000000000,14.10000000,181.16310000
"Kepler-1074 b","Kepler-1074",1,1,"Transit",2016,5.94566534000,1.25000000,2.10000000
"WASP-133 b","WASP-133",1,1,"Transit",2016,2.17642300000,13.56289000,368.68280000
"Kepler-1126 c","Kepler-1126",1,2,"Transit",2023,199.66876000000,1.45000000,2.70000000
"TOI-1224 b","TOI-1224",1,2,"Transit",2024,4.17827450000,2.10400000,5.08000000
"TOI-564 b","TOI-564",1,1,"Transit",2020,1.65114400000,11.43318000,464.98529000
"Kepler-1656 c","Kepler-1656",1,2,"Radial Velocity",2022,1919.00000000000,14.00000000,126.40000000
"TOI-1410 c","TOI-1410",1,2,"Radial Velocity",2024,47.56000000000,5.63000000,27.00000000
"HATS-55 b","HATS-55",1,1,"Transit",2019,4.20420010000,14.02245900,292.72143000
"WASP-183 b","WASP-183",1,1,"Transit",2019,4.11177710000,16.47723000,159.55066000
"HD 45184 b","HD 45184",1,2,"Radial Velocity",2019,5.88540000000,3.52000000,12.19000000
"Kepler-700 b","Kepler-700",1,1,"Transit",2016,80.87206390000,5.99000000,30.00000000
"WASP-170 b","WASP-170",1,1,"Transit",2018,2.34478022000,12.28506400,508.52800000
"TOI-1693 b","TOI-1693",1,1,"Transit",2022,1.76669570000,1.41000000,2.57000000
"OGLE-2018-BLG-0298L b","OGLE-2018-BLG-0298L",1,1,"Microlensing",2022,,7.56000000,44.49597698
"OGLE-2013-BLG-0102L b","OGLE-2013-BLG-0102L",1,1,"Microlensing",2014,,12.30000000,4100.00000000
"Kepler-948 b","Kepler-948",1,1,"Transit",2016,7.76846622000,1.85000000,4.08000000
"TOI-1472 b","TOI-1472",1,2,"Transit",2024,6.36338574000,4.05800000,18.05000000
"Kepler-1894 c","Kepler-1894",1,2,"Transit",2023,5.05368985000,1.21000000,1.92000000
"TOI-532 b","TOI-532",1,1,"Transit",2021,2.32665080000,5.82000000,61.50000000
"Kepler-1996 b","Kepler-1996",1,2,"Transit",2023,32.37618300000,2.26000000,5.73000000
"LP 714-47 b","LP 714-47",1,1,"Transit",2020,4.05203700000,4.70000000,30.80000000
"TOI-921 b","TOI-921",1,1,"Transit",2026,5.12871907628,3.53409617,12.20000000
"Kepler-1278 b","Kepler-1278",1,1,"Transit",2016,3.23941344000,1.01000000,1.01000000
"HD 106270 b","HD 106270",1,1,"Radial Velocity",2011,1888.00000000000,12.40000000,3623.24383980
"Kepler-1977 b","Kepler-1977",1,1,"Transit",2023,4.53702121000,1.66000000,3.39000000
"HATS-10 b","HATS-10",1,1,"Transit",2015,3.31284600000,10.86152100,167.17858000
"Kepler-1801 c","Kepler-1801",1,2,"Transit",2023,116.58318300000,2.91000000,8.80000000
"Kepler-472 b","Kepler-472",1,1,"Transit",2016,4.17625551400,3.22000000,10.50000000
"Kepler-1129 b","Kepler-1129",1,2,"Transit",2016,24.33978040000,2.96000000,9.06000000
"Kepler-1275 b","Kepler-1275",1,1,"Transit",2016,3.65691115000,1.48000000,2.79000000
"Kepler-1052 c","Kepler-1052",1,2,"Transit",2023,180.92172900000,2.30000000,5.90000000
"HATS-61 b","HATS-61",1,1,"Transit",2018,7.81795300000,13.39475500,1080.62200000
"Kepler-656 c","Kepler-656",1,2,"Transit",2023,5.25449393000,1.41000000,2.57000000
"Kepler-1471 c","Kepler-1471",1,2,"Transit",2023,11.60448810000,1.88000000,4.19000000
"Kepler-60 c","Kepler-60",1,3,"Transit",2012,8.91870000000,1.90000000,3.85000000
"Kepler-784 c","Kepler-784",1,2,"Transit",2023,17.15723600000,1.55000000,3.02000000
"WASP-49 b","WASP-49",2,1,"Transit",2012,2.78174000000,12.44199000,117.59710000
"WASP-15 b","WASP-15",1,1,"Transit",2009,3.75210000000,15.80469000,171.62820000
"Kepler-1869 c","Kepler-1869",1,2,"Transit",2023,1.71682830400,0.74000000,0.33000000
"Kepler-1987 c","Kepler-1987",1,4,"Transit",2023,3.64830183000,1.33000000,2.33000000
"Kepler-1669 d","Kepler-1669",1,3,"Transit",2023,4.72941177000,1.22000000,1.98000000
"Kepler-1870 b","Kepler-1870",1,1,"Transit",2021,3.60694003100,2.10143764,5.07000000
"K2-8 c","K2-8",1,2,"Transit",2016,5.06416000000,2.41000000,6.39000000
"Kepler-1339 b","Kepler-1339",1,1,"Transit",2016,1.34155512700,0.71000000,0.28500000
"Kepler-865 c","Kepler-865",1,2,"Transit",2023,6.20920207000,0.89000000,0.64000000
"Kepler-2000 c","Kepler-2000",1,2,"Transit",2023,20.61803480000,1.57000000,3.09000000
"Kepler-864 c","Kepler-864",1,2,"Transit",2023,2.42150341000,1.62000000,3.26000000
"Kepler-1905 b","Kepler-1905",1,1,"Transit",2021,3.42392993000,1.44607340,2.69000000
"Kepler-230 c","Kepler-230",1,2,"Transit",2014,91.77324200000,2.04000000,4.82000000
"Kepler-1839 b","Kepler-1839",1,1,"Transit",2021,5.05675983400,1.94937590,4.46000000
"Kepler-694 b","Kepler-694",1,1,"Transit",2016,6.36584161200,2.80000000,8.25000000
"K2-32 e","K2-32",2,4,"Transit",2019,4.34934000000,1.21200000,2.10000000
"Kepler-1984 b","Kepler-1984",1,1,"Transit",2023,1.99281233900,6.81000000,37.30000000
"Kepler-1987 b","Kepler-1987",1,4,"Transit",2023,2.34586300200,1.23000000,2.04000000
